var_short,jahr,quartal,monat,bl,wert,var_short_orig,name_de,name_en,description_de,description_en,type,source_de,source_en,meta_info_de,meta_info_en,datum,date,BL_long,BL_eng
GLP,2014,1,1,AT,13.7424,GLP,Tourismus – Geschäftslage zurzeit,Tourism – current business situation,Saldo,Balance,WIFO-Konjunkturtest,Q: WIFO in Kooperation mit der EU (DG ECFIN).,Source: WIFO in cooperation with the EU (DG ECFIN).,Saldo … Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten. Angezeigt wird der Wert des ersten Monats im Quartal.,Balance … Difference in percentage points between positive and negative assessments by responding companies. The value of the first month of the quarter is displayed.,I. Quartal 2014,First Quarter 2014,Österreich,Austria
GLP,2014,2,4,AT,-5.8686,GLP,Tourismus – Geschäftslage zurzeit,Tourism – current business situation,Saldo,Balance,WIFO-Konjunkturtest,Q: WIFO in Kooperation mit der EU (DG ECFIN).,Source: WIFO in cooperation with the EU (DG ECFIN).,Saldo … Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten. Angezeigt wird der Wert des ersten Monats im Quartal.,Balance … Difference in percentage points between positive and negative assessments by responding companies. The value of the first month of the quarter is displayed.,II. Quartal 2014,Second Quarter 2014,Österreich,Austria
GLP,2014,3,7,AT,-10.7578,GLP,Tourismus – Geschäftslage zurzeit,Tourism – current business situation,Saldo,Balance,WIFO-Konjunkturtest,Q: WIFO in Kooperation mit der EU (DG ECFIN).,Source: WIFO in cooperation with the EU (DG ECFIN).,Saldo … Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten. Angezeigt wird der Wert des ersten Monats im Quartal.,Balance … Difference in percentage points between positive and negative assessments by responding companies. The value of the first month of the quarter is displayed.,III. Quartal 2014,Third Quarter 2014,Österreich,Austria
GLP,2014,4,10,AT,-9.7622,GLP,Tourismus – Geschäftslage zurzeit,Tourism – current business situation,Saldo,Balance,WIFO-Konjunkturtest,Q: WIFO in Kooperation mit der EU (DG ECFIN).,Source: WIFO in cooperation with the EU (DG ECFIN).,Saldo … Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten. Angezeigt wird der Wert des ersten Monats im Quartal.,Balance … Difference in percentage points between positive and negative assessments by responding companies. The value of the first month of the quarter is displayed.,IV. Quartal 2014,Fourth Quarter 2014,Österreich,Austria
GLP,2014,1,1,B,71.4672,GLP,Tourismus – Geschäftslage zurzeit,Tourism – current business situation,Saldo,Balance,WIFO-Konjunkturtest,Q: WIFO in Kooperation mit der EU (DG ECFIN).,Source: WIFO in cooperation with the EU (DG ECFIN).,Saldo … Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten. Angezeigt wird der Wert des ersten Monats im Quartal.,Balance … Difference in percentage points between positive and negative assessments by responding companies. The value of the first month of the quarter is displayed.,I. Quartal 2014,First Quarter 2014,Burgenland,Burgenland
GLP,2014,2,4,B,-5.1837,GLP,Tourismus – Geschäftslage zurzeit,Tourism – current business situation,Saldo,Balance,WIFO-Konjunkturtest,Q: WIFO in Kooperation mit der EU (DG ECFIN).,Source: WIFO in cooperation with the EU (DG ECFIN).,Saldo … Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten. Angezeigt wird der Wert des ersten Monats im Quartal.,Balance … Difference in percentage points between positive and negative assessments by responding companies. The value of the first month of the quarter is displayed.,II. Quartal 2014,Second Quarter 2014,Burgenland,Burgenland
GLP,2014,3,7,B,-61.4991,GLP,Tourismus – Geschäftslage zurzeit,Tourism – current business situation,Saldo,Balance,WIFO-Konjunkturtest,Q: WIFO in Kooperation mit der EU (DG ECFIN).,Source: WIFO in cooperation with the EU (DG ECFIN).,Saldo … Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten. Angezeigt wird der Wert des ersten Monats im Quartal.,Balance … Difference in percentage points between positive and negative assessments by responding companies. The value of the first month of the quarter is displayed.,III. Quartal 2014,Third Quarter 2014,Burgenland,Burgenland
GLP,2014,4,10,B,-27.0056,GLP,Tourismus – Geschäftslage zurzeit,Tourism – current business situation,Saldo,Balance,WIFO-Konjunkturtest,Q: WIFO in Kooperation mit der EU (DG ECFIN).,Source: WIFO in cooperation with the EU (DG ECFIN).,Saldo … Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten. Angezeigt wird der Wert des ersten Monats im Quartal.,Balance … Difference in percentage points between positive and negative assessments by responding companies. The value of the first month of the quarter is displayed.,IV. Quartal 2014,Fourth Quarter 2014,Burgenland,Burgenland
GLP,2014,1,1,K,23.3945,GLP,Tourismus – Geschäftslage zurzeit,Tourism – current business situation,Saldo,Balance,WIFO-Konjunkturtest,Q: WIFO in Kooperation mit der EU (DG ECFIN).,Source: WIFO in cooperation with the EU (DG ECFIN).,Saldo … Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten. Angezeigt wird der Wert des ersten Monats im Quartal.,Balance … Difference in percentage points between positive and negative assessments by responding companies. The value of the first month of the quarter is displayed.,I. Quartal 2014,First Quarter 2014,Kärnten,Carinthia
GLP,2014,2,4,K,27.5176,GLP,Tourismus – Geschäftslage zurzeit,Tourism – current business situation,Saldo,Balance,WIFO-Konjunkturtest,Q: WIFO in Kooperation mit der EU (DG ECFIN).,Source: WIFO in cooperation with the EU (DG ECFIN).,Saldo … Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten. Angezeigt wird der Wert des ersten Monats im Quartal.,Balance … Difference in percentage points between positive and negative assessments by responding companies. The value of the first month of the quarter is displayed.,II. Quartal 2014,Second Quarter 2014,Kärnten,Carinthia
GLP,2014,3,7,K,-8.9924,GLP,Tourismus – Geschäftslage zurzeit,Tourism – current business situation,Saldo,Balance,WIFO-Konjunkturtest,Q: WIFO in Kooperation mit der EU (DG ECFIN).,Source: WIFO in cooperation with the EU (DG ECFIN).,Saldo … Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten. Angezeigt wird der Wert des ersten Monats im Quartal.,Balance … Difference in percentage points between positive and negative assessments by responding companies. The value of the first month of the quarter is displayed.,III. Quartal 2014,Third Quarter 2014,Kärnten,Carinthia
GLP,2014,4,10,K,-9.0591,GLP,Tourismus – Geschäftslage zurzeit,Tourism – current business situation,Saldo,Balance,WIFO-Konjunkturtest,Q: WIFO in Kooperation mit der EU (DG ECFIN).,Source: WIFO in cooperation with the EU (DG ECFIN).,Saldo … Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten. Angezeigt wird der Wert des ersten Monats im Quartal.,Balance … Difference in percentage points between positive and negative assessments by responding companies. The value of the first month of the quarter is displayed.,IV. Quartal 2014,Fourth Quarter 2014,Kärnten,Carinthia
GLP,2014,1,1,M,15.1658,GLP,Tourismus – Geschäftslage zurzeit,Tourism – current business situation,Saldo,Balance,WIFO-Konjunkturtest,Q: WIFO in Kooperation mit der EU (DG ECFIN).,Source: WIFO in cooperation with the EU (DG ECFIN).,Saldo … Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten. Angezeigt wird der Wert des ersten Monats im Quartal.,Balance … Difference in percentage points between positive and negative assessments by responding companies. The value of the first month of the quarter is displayed.,I. Quartal 2014,First Quarter 2014,Steiermark,Styria
GLP,2014,2,4,M,14.3758,GLP,Tourismus – Geschäftslage zurzeit,Tourism – current business situation,Saldo,Balance,WIFO-Konjunkturtest,Q: WIFO in Kooperation mit der EU (DG ECFIN).,Source: WIFO in cooperation with the EU (DG ECFIN).,Saldo … Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten. Angezeigt wird der Wert des ersten Monats im Quartal.,Balance … Difference in percentage points between positive and negative assessments by responding companies. The value of the first month of the quarter is displayed.,II. Quartal 2014,Second Quarter 2014,Steiermark,Styria
